rule,severity,message,file,line
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,24.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,25.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,27.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,28.0
java:S1186,CRITICAL,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",jabref-entry:BibEntryTypesManager.java,
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,11.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,12.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,13.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,14.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,15.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,16.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,17.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,18.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,19.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,20.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,21.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,29.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,30.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,31.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,32.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,33.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,34.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,35.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,36.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,37.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,38.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,39.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/StandardEntryType.java,40.0
java:S3776,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 41 to the 15 allowed.,jabref-entry:Author.java,76.0
